,pubchem,rt,rt_group
21808,46278991,610.2,0
54078,53155764,583.7,0
64051,53196723,569.8,0
75923,110196171,572.0,0
51293,53143710,593.4,0
67532,71836679,570.4,0
79955,124076849,577.6,0
40910,53043962,580.3,0
73372,91909024,603.9,0
5639,4358198,564.7,0
75555,91923377,623.4,0
77749,124039597,568.9,0
37395,53014037,565.6,0
71053,91653943,526.2,0
78600,124044505,586.8,0
15103,20995919,596.0,0
79509,124050446,613.0,0
78122,124040934,593.1,0
38055,53016174,568.1,0
10889,17017329,614.2,0
73990,91914184,604.4,0
69446,83275823,85.1,0
76124,110197136,564.8,0
70608,87053225,569.7,0
38234,53016666,563.4,0
8557,11957513,601.6,0
79474,124050018,87.1,0
74030,91914323,621.4,0
63478,53192901,85.1,0
74153,91914704,603.9,0
55234,53161029,613.9,0
43881,53086756,86.0,0
47300,53120927,612.0,0
44618,53096017,597.3,0
60893,53180703,583.2,0
13526,20924422,573.3,0
79676,124051538,585.7,0
67843,71838081,604.3,0
64081,53197730,591.9,0
72525,91905392,556.6,0
67496,71836420,569.6,0
37226,53012290,611.9,0
28534,49677585,583.3,0
68603,71841335,577.0,0
52773,53148145,609.8,0
4018,2912393,617.5,0
358,22301,89.8,0
35975,52906802,609.6,0
8748,15996031,602.0,0
76118,110197095,563.8,0
18051,39311239,590.4,0
65813,53210199,102.1,0
61916,53183378,587.4,0
40928,53044022,559.4,0
77378,124038336,575.0,0
37869,53015366,590.8,0
73404,91909150,558.0,0
14469,20962057,608.3,0
15257,22238912,623.4,0
32558,50832822,609.9,0
77566,124038910,570.1,0
794,184694,84.6,0
78935,124046894,84.3,0
34917,50845581,623.6,0
37736,53014987,607.7,0
20421,45502394,553.2,0
62814,53188575,607.5,0
28416,49677106,620.4,0
55098,53159758,623.7,0
22132,46287338,608.1,0
75286,91921357,608.1,0
66862,71778516,522.4,0
20430,45502578,85.1,0
68803,71842601,618.3,0
45628,53106159,551.2,0
28732,49686742,608.0,0
7491,7208823,558.7,0
66750,71687060,82.4,0
59315,53174676,576.7,0
68167,71839190,520.0,0
29227,50745139,609.5,0
30585,50789067,591.0,0
56453,53165909,81.8,0
2021,712924,548.6,0
20067,45497452,574.7,0
65267,53203309,100.6,0
7177,6713980,104.5,0
78597,124044486,83.7,0
91,2438,94.2,0
45520,53104667,623.2,0
78875,124046679,579.6,0
63675,53193606,594.4,0
1780,650108,565.6,0
7366,7161210,621.0,0
79454,124049923,551.0,0
28980,49746550,605.3,0
76156,110197504,92.9,0
4689,3241118,623.7,0
12897,20906751,91.7,0
10277,16835755,620.5,0
4034,2918413,553.3,0
75334,91921743,100.8,0
79777,124052750,84.5,0
60787,53180013,609.4,0
45470,53104077,602.5,0
79283,124048743,562.0,0
22921,46349597,614.1,0
71379,91888283,595.9,0
35914,52904127,591.2,0
